Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class
SAV,SAV,13,46,6,0.36635,0.406821,0.279782,0.044649,0.044649,0
BHM,BHM,19,69,6,0.383523,0.429043,9.488198,0.061195,0.061195,0
HOU,HOU,49,149,6,0.393586,0.458519,420.029943,0.099363,0.099363,0
TYS,TYS,17,62,6,0.385439,0.430123,135.198219,0.050401,0.050401,0
RNO,RNO,14,56,5,0.384068,0.421914,3.439481,0.040996,0.040996,2
KOA,KOA,10,39,5,0.356436,0.386728,88.622141,0.020393,0.020393,2
TUS,TUS,16,62,5,0.394737,0.434722,1.388031,0.050392,0.050392,2
GSO,GSO,14,51,6,0.381087,0.423333,71.547604,0.04279,0.04279,0
CLE,CLE,53,151,6,0.411272,0.479198,2954.879751,0.117719,0.117719,0
XNA,XNA,14,48,6,0.385714,0.428426,64.688268,0.04649,0.04649,0
ABQ,ABQ,23,83,5,0.398524,0.443056,1088.82802,0.061594,0.061594,2
SRQ,SRQ,6,26,6,0.349741,0.381049,0.025641,0.020772,0.020772,0
PNS,PNS,11,42,6,0.360481,0.39787,0.509226,0.035982,0.035982,0
JAN,JAN,9,36,6,0.358566,0.39463,1.644953,0.030878,0.030878,0
CAK,CAK,11,44,6,0.372928,0.412377,0.016949,0.038064,0.038064,0
MDW,MDW,67,255,5,0.422866,0.493673,1387.956234,0.131894,0.131894,0
CHA,CHA,8,32,6,0.362416,0.398333,35.472385,0.023972,0.023972,0
HSV,HSV,9,36,6,0.375783,0.414691,0.151793,0.033528,0.033528,0
LIH,LIH,10,40,5,0.356907,0.387346,0.457066,0.022822,0.022822,2
PSP,PSP,14,45,5,0.38599,0.424228,16.020451,0.041363,0.041363,2
PDX,PDX,54,212,5,0.458015,0.504383,3469.685291,0.099941,0.099941,2
ALB,ALB,19,60,6,0.37474,0.41963,1077.842225,0.056405,0.056405,0
ELP,ELP,13,47,6,0.378151,0.41963,5.368141,0.040081,0.040081,2
GSP,GSP,20,58,6,0.371645,0.41716,127.540892,0.055825,0.055825,0
TUL,TUL,18,55,6,0.389892,0.435525,98.03876,0.054725,0.054725,6
SNA,SNA,18,74,5,0.393586,0.434722,45.627238,0.050703,0.050703,2
EYW,EYW,8,33,6,0.32316,0.362222,0.290687,0.022205,0.022205,0
ROC,ROC,17,58,6,0.368852,0.411451,0.977892,0.055398,0.055398,0
FAT,FAT,10,34,5,0.372414,0.406173,0,0.030653,0.030653,2
MYR,MYR,21,64,6,0.368098,0.413302,669.704498,0.043741,0.043741,0
OMA,OMA,20,69,5,0.400891,0.443673,5.675437,0.06653,0.06653,0
BUF,BUF,20,71,6,0.377358,0.423179,1.180694,0.064894,0.064894,0
AVL,AVL,8,24,6,0.356671,0.390926,41.565775,0.019713,0.019713,0
ABY,ABY,1,8,6,0.319149,0.351883,0,0.004225,0.004225,0
CAE,CAE,10,34,6,0.362173,0.399877,0.151793,0.035609,0.035609,0
LIT,LIT,17,58,6,0.384615,0.429043,72.499224,0.051957,0.051957,0
ILM,ILM,5,26,6,0.323353,0.361142,0,0.017206,0.017206,0
ICT,ICT,12,40,6,0.38055,0.42179,42.698859,0.037626,0.037626,6
GPT,GPT,4,18,6,0.329469,0.369784,0,0.01531,0.01531,6
GNV,GNV,5,24,6,0.323353,0.360679,0.016949,0.016488,0.016488,0
MRY,MRY,6,20,6,0.348837,0.378889,0,0.019125,0.019125,2
DAL,DAL,24,75,5,0.375522,0.41821,324.269673,0.039328,0.039328,6
GEG,GEG,10,30,5,0.365112,0.397377,0,0.027352,0.027352,2
EVV,EVV,4,18,6,0.355263,0.387222,0,0.01605,0.01605,0
FWA,FWA,10,32,6,0.369357,0.407284,93.647868,0.022244,0.022244,6
LEX,LEX,13,40,6,0.371134,0.411451,85.034455,0.036735,0.036735,6
CRW,CRW,9,21,6,0.362416,0.399568,1.442179,0.030552,0.030552,0
SYR,SYR,15,50,6,0.368852,0.410062,36.180424,0.046987,0.046987,0
ROA,ROA,9,30,6,0.358328,0.393704,34.204933,0.025864,0.025864,0
OAK,OAK,33,107,5,0.395315,0.445525,292.508336,0.061674,0.061674,2
CID,CID,11,35,6,0.38055,0.42071,141.774174,0.028879,0.028879,6
ONT,ONT,13,43,5,0.373444,0.409105,1.496975,0.035479,0.035479,2
VPS,VPS,5,21,6,0.330073,0.371327,0,0.018601,0.018601,0
MDT,MDT,11,37,6,0.378682,0.418549,77.912948,0.03327,0.03327,0
FMN,FMN,3,18,6,0.33877,0.363457,21.567852,0.004072,0.004072,2
EWN,EWN,2,10,6,0.320665,0.354969,0,0.007916,0.007916,0
FAY,FAY,4,16,6,0.323547,0.360833,0.151793,0.014308,0.014308,0
KTN,KTN,7,27,5,0.330477,0.350463,2301.633807,0.002749,0.002749,11
FNT,FNT,8,26,6,0.361688,0.396944,0.016949,0.027338,0.027338,0
FSM,FSM,2,10,6,0.326679,0.364228,0,0.008142,0.008142,6
ALS,ALS,2,12,6,0.338558,0.362531,0,0.004005,0.004005,2
MFR,MFR,7,18,5,0.35976,0.388735,0,0.021144,0.021144,2
DAB,DAB,2,10,6,0.320665,0.354969,0,0.007916,0.007916,0
CSG,CSG,1,6,6,0.319149,0.351883,0,0.004225,0.004225,0
SAF,SAF,3,12,6,0.35225,0.38213,0,0.010991,0.010991,2
CHO,CHO,6,26,6,0.352711,0.385062,0,0.021166,0.021166,0
BTR,BTR,4,16,6,0.329469,0.369784,0,0.01531,0.01531,6
DSM,DSM,17,57,6,0.385439,0.429969,171.291292,0.050855,0.050855,6
ECP,ECP,5,14,6,0.32316,0.360833,0,0.014573,0.014573,0
BMI,BMI,8,24,6,0.377622,0.415617,38.406989,0.02741,0.02741,6
DHN,DHN,1,6,6,0.319149,0.351883,0,0.004225,0.004225,0
BQK,BQK,1,6,6,0.319149,0.351883,0,0.004225,0.004225,0
CWA,CWA,3,10,6,0.346154,0.373488,0,0.011611,0.011611,0
GRB,GRB,4,16,6,0.35503,0.385988,0,0.015836,0.015836,0
PHF,PHF,5,18,6,0.365112,0.398642,20.605589,0.015789,0.015789,0
FAR,FAR,10,28,6,0.380282,0.419784,129.851621,0.027673,0.027673,6
ANC,ANC,34,118,4,0.444811,0.48071,47902.710616,0.031062,0.031062,3
FSD,FSD,9,26,6,0.377887,0.416389,96.088174,0.024881,0.024881,6
OAJ,OAJ,3,14,6,0.321237,0.356512,0,0.011207,0.011207,0
GRR,GRR,20,56,6,0.389329,0.436142,191.653842,0.05774,0.05774,0
MSN,MSN,11,34,6,0.378151,0.418086,0.372685,0.037995,0.037995,0
PIA,PIA,10,30,6,0.378151,0.417623,94.240321,0.028287,0.028287,6
CYS,CYS,2,12,6,0.338558,0.362531,539,0.003919,0.003919,2
WRL,WRL,1,6,7,0.253046,0.263258,0,0.000084,0.000084,2
SBN,SBN,9,22,6,0.366102,0.402654,88.279489,0.021046,0.021046,6
SGF,SGF,9,28,6,0.376045,0.414228,114.215267,0.021419,0.021419,6
SHV,SHV,5,16,6,0.365359,0.399259,0,0.019196,0.019196,6
PVD,PVD,19,55,6,0.372671,0.417315,6.170715,0.058768,0.058768,0
TLH,TLH,7,30,6,0.331492,0.374259,0.016949,0.023695,0.023695,0
TRI,TRI,4,14,6,0.325497,0.363302,10.666429,0.008856,0.008856,0
EUG,EUG,9,27,5,0.361204,0.391821,22.979567,0.022842,0.022842,2
VLD,VLD,1,6,6,0.319149,0.351883,0,0.004225,0.004225,0
MOB,MOB,5,18,6,0.355731,0.388457,0,0.01946,0.01946,6
GRK,GRK,3,12,6,0.327869,0.366698,0,0.011619,0.011619,6
GTR,GTR,1,6,6,0.319149,0.351883,0,0.004225,0.004225,0
LFT,LFT,3,12,6,0.327869,0.366698,0,0.011619,0.011619,6
FAI,FAI,18,42,4,0.357143,0.382407,10216.811046,0.003392,0.003392,3
FYU,FYU,4,12,5,0.264188,0.27608,1105.624175,0.000075,0.000075,3
DDC,DDC,2,10,6,0.338346,0.362222,0,0.004003,0.004003,2
LBL,LBL,2,10,6,0.338346,0.362222,0,0.004003,0.004003,2
HPN,HPN,16,46,6,0.356671,0.396327,842.127505,0.034509,0.034509,0
ATW,ATW,7,18,6,0.364865,0.399877,41.956001,0.020459,0.020459,6
MLU,MLU,3,12,6,0.327869,0.366698,0,0.011619,0.011619,6
MTM,MTM,1,6,6,0.248504,0.256728,0,0.000059,0.000059,11
MLI,MLI,10,30,6,0.379747,0.419167,102.247697,0.02864,0.02864,6
MLB,MLB,2,10,6,0.320665,0.354969,0,0.007916,0.007916,0
MGM,MGM,3,14,6,0.328267,0.367315,0,0.011833,0.011833,0
LGB,LGB,12,36,5,0.362903,0.395679,4.135036,0.031068,0.031068,2
BOI,BOI,16,41,5,0.378947,0.417438,46.86429,0.039448,0.039448,2
UNK,UNK,5,18,5,0.31106,0.326975,1053,0.000686,0.000686,3
BUR,BUR,12,36,5,0.36193,0.394599,116.149422,0.028091,0.028091,2
SOW,SOW,2,12,6,0.322196,0.339074,1.707875,0.003215,0.003215,2
TVC,TVC,3,10,6,0.346154,0.373488,0,0.011611,0.011611,0
HON,HON,1,6,7,0.253283,0.263721,0,0.000086,0.000086,2
PIR,PIR,3,16,6,0.338983,0.363765,557.318547,0.004,0.004,2
AMA,AMA,6,19,6,0.356907,0.389383,3.20142,0.018657,0.018657,6
ENA,ENA,1,6,5,0.308043,0.319259,0,0.000669,0.000669,3
ANI,ANI,8,24,5,0.311239,0.328981,3198.5,0.000686,0.000686,3
ABE,ABE,9,26,6,0.357143,0.39216,45.390961,0.021309,0.021309,0
AGS,AGS,3,14,6,0.321237,0.356512,0,0.011207,0.011207,0
AEX,AEX,3,12,6,0.327869,0.366698,0,0.011619,0.011619,6
BTV,BTV,10,27,6,0.357616,0.393395,20.494313,0.031181,0.031181,0
AVP,AVP,6,19,6,0.355731,0.388457,15.786189,0.019781,0.019781,0
JNU,JNU,12,34,5,0.352021,0.372901,4758.725148,0.003412,0.003412,11
COS,COS,11,27,5,0.391588,0.428241,1.854637,0.037862,0.037862,2
MHT,MHT,14,40,6,0.366599,0.406975,1.156624,0.046799,0.046799,0
ATY,ATY,2,6,6,0.331288,0.352346,16.682319,0.003788,0.003788,2
SCE,SCE,4,10,6,0.344388,0.372562,0,0.014373,0.014373,0
SBY,SBY,2,8,6,0.312862,0.342932,0,0.007054,0.007054,0
ABL,ABL,3,8,6,0.239468,0.250247,0,0.000015,0.000015,3
OTZ,OTZ,13,41,5,0.314319,0.337469,5868,0.000688,0.000688,3
LAN,LAN,6,16,6,0.359521,0.392623,19.950284,0.01972,0.01972,0
SBP,SBP,3,8,6,0.329068,0.350031,0,0.009082,0.009082,2
SBA,SBA,6,16,5,0.354098,0.381327,0,0.017818,0.017818,2
BET,BET,22,42,5,0.31653,0.34642,11588.5,0.000676,0.000676,3
KWN,KWN,3,9,6,0.240856,0.253673,539,0.000015,0.000015,3
BIS,BIS,5,12,6,0.355497,0.386605,34.920747,0.012242,0.012242,2
CDV,CDV,2,6,5,0.308395,0.320494,107.741045,0.000671,0.000671,3
SWF,SWF,5,12,6,0.317647,0.352654,5.077863,0.013325,0.013325,0
ACY,ACY,9,20,6,0.352941,0.387222,0.884721,0.025781,0.025781,0
ADQ,ADQ,3,7,5,0.309101,0.322191,1613,0.000669,0.000669,3
BZN,BZN,7,16,5,0.371901,0.403549,18.62831,0.02126,0.02126,2
STS,STS,4,12,5,0.336868,0.356636,0,0.010443,0.010443,2
YUM,YUM,2,6,6,0.326877,0.346019,0,0.006284,0.006284,2
MAF,MAF,7,17,6,0.356201,0.389228,20.521421,0.018201,0.018201,6
LBB,LBB,8,19,6,0.355966,0.389537,41.464307,0.018503,0.018503,6
ITO,ITO,3,8,6,0.324714,0.343549,0,0.005174,0.005174,2
HRL,HRL,7,15,6,0.311419,0.343549,0.924364,0.011354,0.011354,6
MKK,MKK,3,7,6,0.301339,0.31463,0,0.002062,0.002062,2
PGA,PGA,3,8,6,0.34005,0.365309,539,0.007047,0.007047,2
GST,GST,2,6,6,0.260618,0.269228,0,0.000075,0.000075,11
HNH,HNH,2,6,6,0.260618,0.269228,0,0.000075,0.000075,11
HNS,HNS,2,7,6,0.260618,0.269228,0,0.000075,0.000075,11
SGY,SGY,2,7,6,0.260618,0.269228,0,0.000075,0.000075,11
LNY,LNY,3,7,6,0.301339,0.31463,0,0.002062,0.002062,2
ISP,ISP,11,33,6,0.321237,0.361914,20.899874,0.026081,0.026081,0
MOT,MOT,4,10,6,0.349063,0.377963,5.067756,0.01165,0.01165,2
PQI,PQI,1,4,6,0.30286,0.325031,0,0.002977,0.002977,0
PBG,PBG,5,14,6,0.314319,0.34679,22.876621,0.007567,0.007567,0
AKN,AKN,8,12,5,0.310345,0.327593,3218,0.000685,0.000685,3
CDB,CDB,4,10,5,0.309101,0.322963,1614,0.00067,0.00067,3
DLG,DLG,2,6,5,0.309278,0.322037,0,0.000684,0.000684,3
MCG,MCG,4,11,5,0.310167,0.32466,1077,0.000684,0.000684,3
SDP,SDP,1,4,5,0.308043,0.319259,0,0.000669,0.000669,3
SNP,SNP,2,6,5,0.308219,0.320185,0,0.000683,0.000683,3
STG,STG,2,6,5,0.308219,0.320185,0,0.000683,0.000683,3
BLI,BLI,9,20,5,0.348162,0.375,17.576129,0.017958,0.017958,2
RDM,RDM,6,16,5,0.355497,0.383179,0,0.017483,0.017483,2
HTS,HTS,4,10,6,0.318021,0.352191,6.022666,0.005572,0.005572,6
LYH,LYH,1,4,6,0.310167,0.337685,0,0.003691,0.003691,0
PGV,PGV,1,4,6,0.310167,0.337685,0,0.003691,0.003691,0
CMI,CMI,2,8,6,0.345711,0.373488,0,0.008067,0.008067,6
GLV,GLV,3,8,6,0.239787,0.251019,0.5,0.000016,0.000016,3
WMO,WMO,2,8,6,0.23968,0.250093,0,0.000015,0.000015,3
GAM,GAM,2,8,6,0.23968,0.250093,0,0.000015,0.000015,3
SVA,SVA,2,8,6,0.23968,0.250093,0,0.000015,0.000015,3
OME,OME,15,45,5,0.314869,0.33963,5882.5,0.000703,0.000703,3
DRO,DRO,3,10,6,0.350649,0.379969,0,0.01096,0.01096,2
COU,COU,2,8,6,0.345711,0.373488,0,0.008067,0.008067,6
CRP,CRP,4,10,6,0.318396,0.352963,0.270833,0.009931,0.009931,6
DBQ,DBQ,1,4,6,0.337079,0.360525,0,0.00415,0.00415,0
HHH,HHH,2,8,6,0.311239,0.340154,0,0.006982,0.006982,0
ART,ART,2,8,6,0.34005,0.365309,0,0.007513,0.007513,0
KKA,KKA,4,10,6,0.24,0.252253,1.5,0.000031,0.000031,3
SKK,SKK,3,11,6,0.239893,0.251327,0,0.000031,0.000031,3
IAN,IAN,2,8,6,0.239362,0.249321,0,0.000015,0.000015,3
AZO,AZO,4,12,6,0.35503,0.385988,0,0.015836,0.015836,0
BFL,BFL,5,12,6,0.350877,0.381667,0,0.016476,0.016476,2
BGM,BGM,3,8,6,0.316159,0.348642,0,0.010223,0.010223,0
BGR,BGR,6,16,6,0.320285,0.35713,9.846908,0.013988,0.013988,0
ALO,ALO,1,4,6,0.337079,0.360525,0,0.00415,0.00415,0
SHH,SHH,2,6,6,0.23968,0.250093,0,0.000015,0.000015,3
ORV,ORV,2,8,6,0.239362,0.249321,0,0.000015,0.000015,3
WLK,WLK,1,4,6,0.239256,0.248395,0,0.000015,0.000015,3
SMK,SMK,1,4,6,0.237363,0.244383,0,0.000015,0.000015,3
MBS,MBS,4,10,6,0.35503,0.385988,0,0.015836,0.015836,0
ABI,ABI,1,4,6,0.315605,0.346636,0,0.003916,0.003916,6
ACT,ACT,1,4,6,0.315605,0.346636,0,0.003916,0.003916,6
CLL,CLL,2,6,6,0.316901,0.349414,0,0.007393,0.007393,6
FLO,FLO,1,4,6,0.310167,0.337685,0,0.003691,0.003691,0
BPT,BPT,1,4,6,0.315605,0.346636,0,0.003916,0.003916,6
BRO,BRO,2,6,6,0.316901,0.349414,0,0.007393,0.007393,6
RBY,RBY,3,7,5,0.26393,0.275,133.2,0.000075,0.000075,3
HVN,HVN,1,4,6,0.305776,0.330432,0,0.003363,0.003363,0
IPT,IPT,1,4,6,0.305776,0.330432,0,0.003363,0.003363,0
ITH,ITH,3,8,6,0.314136,0.345247,0,0.010406,0.010406,0
ELI,ELI,3,9,6,0.239787,0.251019,0.5,0.000016,0.000016,3
DRG,DRG,2,8,6,0.239362,0.249321,0,0.000015,0.000015,3
BKC,BKC,2,8,6,0.239362,0.249321,0,0.000015,0.000015,3
