Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class
BFI,BFI,3,4,1,1,1,2,0,0,5
CLM,CLM,1,2,2,0.6,0.666667,0,0,0,5
JHM,JHM,2,4,6,0.300836,0.313086,0,0.001705,0.001705,2
HNM,HNM,1,2,6,0.277065,0.29213,0,0.000752,0.000752,2
MUE,MUE,1,2,6,0.277065,0.29213,0,0.000752,0.000752,2
ELD,ELD,3,5,6,0.293638,0.314599,4.868906,0.002698,0.002698,6
HOT,HOT,2,4,7,0.282723,0.302703,0,0.001869,0.001869,6
OWB,OWB,2,4,6,0.307868,0.334599,4.491798,0.003272,0.003272,6
IKO,IKO,1,2,2,0.6,0.666667,0,0,0,4
NLG,NLG,1,2,6,0.23622,0.242531,0,0.000014,0.000014,3
KVC,KVC,1,2,6,0.23622,0.242531,0,0.000014,0.000014,3
PVU,PVU,3,6,6,0.331492,0.352809,3.038176,0.004856,0.004856,2
KFP,KFP,1,2,6,0.23622,0.242531,0,0.000014,0.000014,3
HYG,HYG,1,2,6,0.248504,0.256728,0,0.000059,0.000059,11
AHN,AHN,1,2,7,0.290635,0.3119,0,0.00252,0.00252,0
VIS,VIS,1,2,6,0.323353,0.340154,0,0.003157,0.003157,2
KQA,KQA,1,2,2,0.6,0.666667,0,0,0,4
PSC,PSC,8,16,5,0.363636,0.39429,21.174739,0.022059,0.022059,2
MSO,MSO,7,14,5,0.36193,0.391512,16.60569,0.019261,0.019261,2
IDA,IDA,4,8,6,0.346598,0.374568,5.572884,0.01074,0.01074,2
PRC,PRC,1,2,6,0.323353,0.340154,0,0.003157,0.003157,2
LCK,LCK,2,4,7,0.243134,0.267002,0.399145,0.000939,0.000939,6
SMX,SMX,2,4,6,0.335196,0.357438,0,0.006818,0.006818,2
SCK,SCK,1,2,6,0.330477,0.350031,0,0.00366,0.00366,2
LNK,LNK,3,6,6,0.355966,0.386451,0,0.011769,0.011769,2
LMT,LMT,2,4,6,0.32316,0.340154,0,0.004949,0.004949,2
MKG,MKG,1,2,6,0.337079,0.360525,0,0.00415,0.00415,0
BFF,BFF,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
CEZ,CEZ,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
LBF,LBF,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
MCK,MCK,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
STC,STC,2,4,6,0.341989,0.36716,3.152316,0.004521,0.004521,6
PAH,PAH,1,2,6,0.337079,0.360525,0,0.00415,0.00415,0
MOD,MOD,1,2,6,0.30303,0.32534,0,0.002798,0.002798,2
SHD,SHD,2,3,6,0.303712,0.328272,0,0.003169,0.003169,0
MGW,MGW,2,4,6,0.304569,0.329198,0,0.003182,0.003182,6
RIW,RIW,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
GCN,GCN,1,2,7,0.253879,0.264493,0,0.000152,0.000152,2
APF,APF,1,2,6,0.297849,0.31716,0,0.002516,0.002516,0
BKG,BKG,4,8,6,0.343293,0.370093,1.43364,0.009743,0.009743,6
RDD,RDD,1,2,6,0.30303,0.32534,0,0.002798,0.002798,2
LWB,LWB,2,4,6,0.321429,0.356204,0,0.007326,0.007326,0
LUK,LUK,3,6,6,0.313407,0.344167,18.42229,0.006584,0.006584,0
FKL,FKL,2,4,7,0.291734,0.314832,0,0.00259,0.00259,1
DUJ,DUJ,2,4,7,0.291734,0.314832,0,0.00259,0.00259,1
CLD,CLD,1,2,6,0.323353,0.340154,0,0.003157,0.003157,2
CKB,CKB,3,5,6,0.31106,0.34108,15.190811,0.003762,0.003762,6
CIC,CIC,1,2,6,0.30303,0.32534,0,0.002798,0.002798,2
CEC,CEC,2,4,6,0.3032,0.326265,0,0.002891,0.002891,2
COD,COD,2,4,6,0.340909,0.365926,0,0.006709,0.006709,2
CMX,CMX,1,2,6,0.337079,0.360525,0,0.00415,0.00415,0
JHW,JHW,2,4,7,0.291734,0.314832,0,0.00259,0.00259,8
PKB,PKB,1,2,7,0.291577,0.313907,0,0.002535,0.002535,0
ASE,ASE,2,4,6,0.34134,0.366543,0,0.007074,0.007074,2
AOO,AOO,2,4,6,0.303712,0.328272,0,0.003169,0.003169,7
JST,JST,2,4,6,0.303712,0.328272,0,0.003169,0.003169,7
ACV,ACV,3,6,6,0.303371,0.327191,0.5,0.00432,0.00432,2
ACK,ACK,6,12,6,0.304225,0.330586,567.458115,0.003905,0.003905,9
TEB,TEB,1,2,7,0.233362,0.245026,0,0.000084,0.000084,9
MBL,MBL,1,2,6,0.297357,0.319475,0,0.00284,0.00284,0
MMU,MMU,2,4,7,0.291419,0.313289,0.835531,0.002464,0.002464,0
BKW,BKW,2,3,6,0.303712,0.328272,0,0.003169,0.003169,0
BIL,BIL,12,24,5,0.364372,0.397685,2701.60569,0.019306,0.019306,2
BFD,BFD,2,4,7,0.291734,0.314832,0,0.00259,0.00259,8
CPR,CPR,3,6,6,0.345269,0.372099,0,0.010369,0.010369,2
HOB,HOB,1,2,6,0.308395,0.334753,0,0.003477,0.003477,6
FOE,FOE,1,2,6,0.337079,0.360525,0,0.00415,0.00415,0
JAC,JAC,2,4,6,0.340909,0.365926,0,0.006709,0.006709,2
ISN,ISN,2,4,6,0.345489,0.371944,0,0.007619,0.007619,2
SHR,SHR,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
MCE,MCE,1,2,6,0.323353,0.340154,0,0.003157,0.003157,2
HLN,HLN,5,9,5,0.358566,0.385957,0,0.013453,0.013453,2
HDN,HDN,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
GUC,GUC,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
GCC,GCC,3,6,6,0.341124,0.366852,0,0.006856,0.006856,2
FCA,FCA,5,10,5,0.36,0.387809,0,0.016739,0.016739,2
EGE,EGE,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
DIK,DIK,2,4,6,0.345489,0.371944,0,0.007619,0.007619,2
LAR,LAR,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
EAU,EAU,1,2,6,0.337079,0.360525,0,0.00415,0.00415,0
DLH,DLH,4,8,6,0.349741,0.379043,4.591683,0.011883,0.011883,2
SGU,SGU,2,4,6,0.340909,0.365926,0,0.006709,0.006709,2
RKS,RKS,3,6,6,0.341124,0.366852,0,0.006856,0.006856,2
PUB,PUB,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
MTJ,MTJ,1,2,6,0.338134,0.361296,0,0.003917,0.003917,2
APN,APN,2,4,6,0.33877,0.363148,0,0.00746,0.00746,2
ABR,ABR,1,2,6,0.330477,0.350648,0,0.003702,0.003702,2
BJI,BJI,1,2,6,0.330477,0.350648,0,0.003702,0.003702,2
ORH,ORH,2,4,6,0.30543,0.330123,0,0.005856,0.005856,0
YKM,YKM,1,2,5,0.326679,0.340895,0,0.002668,0.002668,2
ESC,ESC,1,2,6,0.310881,0.33892,0,0.003758,0.003758,0
BTM,BTM,1,2,6,0.321237,0.338457,0,0.002792,0.002792,2
BRD,BRD,2,4,6,0.33068,0.351574,0,0.003783,0.003783,2
INL,INL,2,4,6,0.33068,0.351574,0,0.003783,0.003783,2
CDC,CDC,1,2,6,0.321237,0.338457,0,0.002792,0.002792,2
CNY,CNY,1,2,6,0.321237,0.338457,0,0.002792,0.002792,2
CIU,CIU,1,2,6,0.310881,0.33892,0,0.003758,0.003758,0
HYA,HYA,3,5,6,0.303712,0.327809,0.54375,0.003804,0.003804,9
TVF,TVF,1,2,7,0.25702,0.268629,0,0.000179,0.000179,6
VEE,VEE,2,4,6,0.209221,0.215988,539,0.000002,0.000002,3
LMA,LMA,1,2,5,0.263286,0.272222,0,0.000073,0.000073,3
ARC,ARC,1,2,7,0.173077,0.177072,0,0,0,3
AET,AET,3,5,5,0.263672,0.274383,0.7,0.000076,0.000076,3
AKK,AKK,1,2,6,0.23622,0.242315,0,0.000014,0.000014,3
OBU,OBU,3,6,6,0.239468,0.250247,0,0.000015,0.000015,3
SHG,SHG,3,6,6,0.239468,0.250247,0,0.000015,0.000015,3
EWB,EWB,3,5,7,0.264576,0.281684,0,0.000909,0.000909,9
MVY,MVY,4,8,6,0.303883,0.328735,27.624782,0.003824,0.003824,9
CGI,CGI,1,2,6,0.299667,0.319938,0,0.002679,0.002679,0
SLK,SLK,1,2,6,0.30286,0.325031,0,0.002977,0.002977,0
RUT,RUT,1,2,6,0.30286,0.325031,0,0.002977,0.002977,0
RKD,RKD,1,2,6,0.30286,0.325031,0,0.002977,0.002977,0
PVC,PVC,1,2,6,0.30286,0.325031,0,0.002977,0.002977,0
LEB,LEB,2,4,6,0.303371,0.326574,0.54375,0.00372,0.00372,0
SDY,SDY,1,2,6,0.267194,0.279846,0,0.000416,0.000416,2
OLF,OLF,1,2,6,0.267194,0.279846,0,0.000416,0.000416,2
